,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
244,9.748203258,26.72258291,12.04937326,62.8285563,5.46E-05,1.794,140.58625
245,10.60336057,34.23535032,11.91230241,62.60722419,9.21E-05,1.794,140.58625
246,11.62807541,44.41962303,14.06988532,69.42826224,0.000135339,1.871,149.57375
247,12.40719352,50.54484409,14.06822816,68.85498623,0.000155215,1.871,149.57375
248,12.55652903,53.06623616,14.2491851,71.5025648,0.000161201,1.836,209.72875
249,12.68274252,51.53688861,14.314573,72.32558034,0.000158219,1.836,209.72875
250,12.71048338,49.70030662,16.02405416,77.09000566,0.000147228,1.668,201.905
251,12.96856863,48.2413845,15.96870526,78.40797589,0.00014045,1.668,201.905
252,13.14331473,48.14247248,17.32210903,81.09980524,0.000138743,1.585,249.695
253,13.18014351,47.41875091,17.15685863,80.61298886,0.000127395,1.585,249.695
254,9.610020411,43.60286597,15.87602176,79.27660538,0.000117138,1.284,271.6925
255,10.43821472,41.39411547,16.73176497,76.98721587,0.000113526,1.284,271.6925
256,11.13447874,44.3377276,15.3041048,74.98084315,0.000114311,0.929,232.79625
257,11.87617479,45.04876414,15.55163724,76.50013318,0.000115523,0.929,232.79625
258,12.10752487,44.60181455,14.50647914,71.09436985,0.000112891,0.926,277.37625
259,12.46250395,44.3433499,14.02415675,70.40102047,0.000113431,0.926,277.37625
260,12.39798931,44.9704666,12.48552914,65.2687479,0.000117356,1.367,259.85875
261,12.31369568,43.9067779,12.70885724,66.25950485,0.000114208,1.367,259.85875
262,12.16126402,44.60835317,11.22852407,58.30359474,0.000119998,1.89,282.56
263,12.39651792,44.84789764,11.01513772,57.40230287,0.00012082,1.89,282.56
264,12.71792736,45.8377242,10.47023442,55.35324831,0.000130187,2.252,295.8675
265,12.91995529,46.34577283,10.23524944,54.89881429,0.000132023,2.252,295.8675
266,13.06958763,44.58313924,10.78043514,55.33008546,0.000119565,2.352,280.93125
267,13.54108358,48.13551352,10.83070065,56.0775697,0.000136957,2.352,280.93125
268,13.86988573,47.35186503,10.28075182,55.64254674,0.000138328,2.026,274.9775
269,13.9243352,49.31271817,10.57169964,57.58544779,0.000145354,2.026,274.9775
270,13.74682076,49.00025717,9.910709877,55.67077412,0.000144782,1.055,250.17875
271,13.57844387,48.0483942,10.11180701,53.40260493,0.000141635,1.055,250.17875
272,13.35494238,46.02742316,9.974248131,54.61457664,0.000135141,0.18,329.82125
273,12.77594919,44.02888407,9.902320037,53.59111131,0.000127595,0.18,329.82125
274,11.91811946,41.20292092,9.08156259,50.95611376,0.00011985,-0.253,365.06875
275,11.31959254,38.5532226,9.236215906,52.76429317,0.000108907,-0.253,365.06875
276,10.52861168,34.82267482,8.83001418,50.85956078,9.14E-05,-0.546,380.26
277,9.56305442,30.81701625,8.879497713,50.83105181,7.32E-05,-0.546,380.26
278,8.718246664,27.14229954,7.81579868,46.11236265,5.78E-05,-0.854,372.9675
279,7.923294792,24.51484761,7.699530421,46.38944276,4.69E-05,-0.854,372.9675
280,7.363913753,21.88924102,6.761099921,39.06989912,3.54E-05,-1.211,337.69
281,6.683975734,19.47429177,6.785899877,39.53517311,2.63E-05,-1.211,337.69
282,6.357480658,17.96565301,5.980926484,35.46737179,2.37E-05,-1.438,303.0175
283,5.886880449,16.93646468,6.242325373,36.51432607,2.05E-05,-1.438,303.0175
284,5.743802665,16.72784812,5.445580938,32.21678836,1.94E-05,-1.621,274.10125
285,5.623631326,16.47204502,5.551727904,32.38081323,1.91E-05,-1.621,274.10125
286,5.52583982,16.3263257,4.688563726,28.7542418,1.90E-05,-1.842,182.83125
287,5.545071329,16.10427856,4.886181805,28.29141698,1.73E-05,-1.842,182.83125
288,9.195908169,20.40419702,4.299859209,25.54849937,2.12E-05,-2.033,174.82875
289,9.078603343,19.98787051,4.234135042,25.66202402,1.93E-05,-2.033,174.82875
290,9.079904771,20.42484335,3.559734112,22.57836407,2.21E-05,-2.204,148.8325
291,9.141629663,21.35283092,3.711801494,22.32077882,2.68E-05,-2.204,148.8325
292,9.459844494,24.11179606,3.163138753,19.20007829,4.14E-05,-2.338,143.3025
293,10.0960648,30.77284413,3.171245392,19.96262526,7.45E-05,-2.338,143.3025
294,11.21656877,41.74068311,2.572194976,16.83058221,0.000120464,-2.442,143.87625
295,11.95054603,49.92546905,2.580031764,16.8589103,0.000151341,-2.442,143.87625
296,12.77540807,55.24865493,2.073779083,14.35904149,0.000173871,-2.521,136.5875
297,12.95902351,54.12814346,2.090200647,13.78276229,0.000171986,-2.521,136.5875
298,13.23284239,53.36353698,1.77738898,12.67760269,0.000165339,-2.518,204.69125
299,13.49739159,51.52101401,1.841297914,12.45446313,0.000155094,-2.518,204.69125
300,13.50240387,50.06437928,1.855319939,12.18031137,0.000147725,-2.521,209.76125
301,13.29141345,49.79317544,1.87210294,12.58118023,0.000139603,-2.521,209.76125
302,10.44647705,47.39100183,1.796253046,12.27469564,0.000133445,-2.544,212.38125
303,10.9181064,45.15094318,1.861992931,12.67761118,0.000126524,-2.544,212.38125
304,11.50951234,45.99263264,1.659796478,11.89722881,0.000122186,-2.534,203.16625
305,11.85360372,44.83896027,1.694766457,12.19009622,0.000115151,-2.534,203.16625
306,12.23413618,45.51347666,1.517335851,11.05184942,0.000114952,-1.765,240.48875
307,12.55065477,46.07129919,1.529496564,11.11802271,0.000114598,-1.765,240.48875
308,12.6624633,45.66238235,1.173251049,8.832716048,0.000114955,-0.691,279.5075
309,12.76941632,44.42349098,1.18061993,8.762977441,0.000109799,-0.691,279.5075
310,12.86114944,44.08054482,0.942730845,7.00263004,0.000114536,0.052,309.31375
311,12.87862642,44.83882669,0.978755501,7.300289064,0.000118613,0.052,309.31375
312,13.11021829,46.52133006,0.836512118,6.486111725,0.000123098,0.62,282.14375
313,13.11455656,47.04830707,0.804290406,6.388439979,0.000127257,0.62,282.14375
314,13.24811807,47.56749294,0.76968823,6.455999283,0.000127437,0.828,279.84
315,13.18080376,46.54772151,0.734653005,6.163770942,0.000129036,0.828,279.84
316,13.61204146,49.49428237,0.734785899,6.642559675,0.000140293,0.478,266.585
317,13.55935305,48.56816528,0.754017139,6.603788459,0.000135843,0.478,266.585
318,13.18275554,46.30837945,0.826955309,7.422806062,0.000135818,-0.266,249.68875
319,13.11088684,46.42176496,0.876747509,7.282628006,0.000133561,-0.266,249.68875
